Course	Room	Teacher	Time	Students
6	6	8	1	1 7 18 44 47 59 60 61 63 65 66 77 80 84 99 105 114 120 133 138 158 166 168 180 186 193 200
9	6	1	2	11 12 21 30 38 42 44 54 58 64 70 106 115 121 124 137 138 153 165 168 170 173 175 182 185 188 197
15	8	6	1	4 10 21 24 25 37 52 57 71 73 76 93 101 112 124 127 128 150 163 164 173 175 181 182 188 191
16	8	3	2	7 17 24 28 31 36 45 50 55 63 74 92 93 99 103 109 110 112 114 117 131 143 148 149 158 191 199
1	10	4	1	5 12 26 27 31 34 41 45 68 83 87 92 103 119 126 144 145 146 148 153 155 174 190
3	10	2	2	1 2 5 6 14 19 22 34 43 51 62 66 67 76 78 83 98 122 129 140 150 155 159 161 180 187 190 196
7	2	5	1	11 14 20 23 30 74 86 95 96 97 102 108 111 117 130 134 135 139 143 167 170 187 196
8	2	8	2	25 37 47 48 59 69 71 72 77 79 80 85 94 95 105 116 126 134 141 142 146 154 164 167 181 183 192
14	4	3	1	8 9 13 19 43 49 51 53 54 55 79 82 98 100 104 106 109 113 141 142 152 162 165 171 178 179 189
2	5	2	1	3 16 17 22 39 50 81 85 88 91 107 116 118 121 131 151 169 172 184 185 192 194 195 197
4	4	5	2	3 13 15 20 56 75 87 91 97 100 101 113 118 133 136 139 152 156 169 200
12	3	1	1	2 33 35 40 42 46 67 69 70 72 75 78 89 123 129 136 140 149 154 156 157 161 176
13	5	7	2	4 8 9 18 27 32 33 35 52 57 68 73 86 90 102 119 120 123 128 130 157 162 163 166 179 186
5	3	6	2	23 39 49 60 61 82 84 89 104 108 111 127 135 172 193 194
11	7	7	1	6 15 28 29 32 36 38 58 62 90 110 115 122 125 132 137 147 160 177 183 198 199
10	7	4	2	10 16 26 29 40 41 46 65 88 132 144 145 147 151 174 176 177 178 184 189 198
