Students	50
1	5 4 9 2
2	1 10 4 5
3	5 2 9 1
4	4 8 9 2
5	1 3 2 10
6	10 1 3 8
7	8 9 3 5
8	10 8 3 7
9	1 7 3 6
10	2 10 1 9
11	3 9 7 5
12	6 3 4 1
13	9 7 2 6
14	1 3 10 8
15	4 6 8 3
16	4 3 2 8
17	5 2 8 4
18	7 1 5 4
19	5 9 6 3
20	1 10 6 7
21	1 9 2 4
22	9 7 1 4
23	4 9 1 2
24	9 7 4 1
25	6 8 10 3
26	1 6 2 7
27	5 1 10 3
28	6 9 3 4
29	4 2 3 10
30	9 1 5 7
31	5 2 6 10
32	5 4 2 8
33	2 9 6 4
34	7 5 3 6
35	6 3 8 4
36	10 3 2 1
37	8 3 9 2
38	5 2 10 9
39	8 10 9 6
40	4 8 3 5
41	5 6 9 4
42	5 2 8 10
43	10 2 9 3
44	5 4 1 3
45	10 4 7 9
46	3 6 9 8
47	5 10 6 7
48	9 7 4 5
49	8 6 5 9
50	5 4 1 7
