Students	200
1	3 6 11 10
2	12 3 2 9
3	4 9 8 2
4	15 13 8 16
5	3 1 8 11
6	3 11 12 13
7	16 4 6 9
8	14 13 12 8
9	13 14 2 6
10	10 15 1 11
11	9 7 16 1
12	9 3 4 1
13	14 4 6 3
14	3 7 14 2
15	4 11 5 16
16	2 12 10 8
17	2 16 7 1
18	6 13 15 9
19	14 3 10 1
20	7 4 16 1
21	15 14 9 12
22	3 5 2 11
23	5 7 14 10
24	16 15 3 13
25	8 15 16 5
26	10 1 8 3
27	13 1 12 8
28	11 16 5 15
29	10 11 7 9
30	7 9 16 1
31	16 13 9 1
32	13 11 14 12
33	13 12 15 14
34	1 11 14 3
35	12 6 13 8
36	11 16 7 3
37	8 15 9 4
38	11 9 5 15
39	5 2 11 6
40	10 3 12 1
41	10 9 5 1
42	9 12 10 6
43	3 5 10 14
44	6 9 5 4
45	16 4 1 9
46	10 12 4 6
47	8 6 5 4
48	8 10 13 16
49	14 5 7 6
50	16 4 2 5
51	3 14 2 7
52	13 15 3 12
53	14 15 6 1
54	9 14 8 13
55	16 14 15 2
56	4 3 13 10
57	13 15 12 14
58	9 3 11 2
59	8 13 6 5
60	5 13 4 6
61	6 15 5 7
62	11 3 10 1
63	16 13 6 2
64	9 10 3 8
65	10 8 6 1
66	3 6 2 11
67	3 12 15 9
68	13 1 3 12
69	8 12 7 3
70	9 16 12 5
71	15 7 11 8
72	12 7 8 10
73	13 15 14 2
74	16 8 7 5
75	4 12 3 15
76	3 16 15 2
77	8 6 16 3
78	3 12 4 1
79	14 12 6 8
80	6 2 8 14
81	2 6 7 14
82	5 14 15 1
83	3 1 9 11
84	5 6 9 8
85	8 16 2 14
86	7 13 10 14
87	4 16 1 9
88	10 9 2 6
89	5 3 12 6
90	11 15 13 14
91	4 16 5 2
92	1 7 16 8
93	16 15 4 14
94	8 9 13 4
95	7 8 14 9
96	7 12 1 11
97	4 16 7 3
98	14 3 5 6
99	16 6 12 2
100	14 7 2 4
101	15 4 10 9
102	13 4 16 7
103	16 1 15 11
104	5 13 14 2
105	6 8 16 12
106	14 9 16 3
107	2 7 6 12
108	5 7 12 3
109	14 16 4 9
110	11 16 12 7
111	7 5 16 4
112	16 9 15 4
113	4 14 9 15
114	6 16 15 10
115	11 9 4 15
116	8 2 6 14
117	7 12 16 5
118	4 16 2 5
119	13 8 1 12
120	13 6 2 11
121	2 9 7 1
122	3 11 15 13
123	13 12 11 8
124	15 14 6 9
125	11 14 1 15
126	8 1 12 16
127	5 15 10 6
128	13 15 9 7
129	12 6 3 1
130	7 13 1 11
131	2 16 15 4
132	11 10 6 16
133	6 4 15 7
134	8 16 7 1
135	7 2 5 6
136	12 1 4 6
137	11 9 7 12
138	9 6 4 14
139	7 14 6 4
140	3 10 16 12
141	14 8 7 9
142	14 8 3 10
143	16 4 7 12
144	1 10 6 2
145	10 3 1 15
146	1 6 8 13
147	10 5 11 4
148	16 13 1 15
149	16 12 2 5
150	3 15 7 11
151	2 15 10 6
152	14 4 9 15
153	9 4 8 1
154	8 12 6 7
155	1 3 4 5
156	4 12 3 7
157	13 8 12 4
158	6 1 16 9
159	3 13 10 8
160	11 15 2 7
161	12 3 13 4
162	13 14 15 9
163	13 4 16 15
164	15 1 8 3
165	14 7 9 10
166	13 6 12 5
167	7 8 12 13
168	9 6 1 8
169	2 4 7 1
170	7 12 9 10
171	14 7 15 2
172	2 5 16 1
173	15 2 9 12
174	10 1 9 11
175	15 9 4 5
176	10 12 9 1
177	11 10 5 4
178	14 10 1 4
179	14 13 2 4
180	3 6 11 13
181	8 15 2 6
182	9 8 10 15
183	11 15 8 1
184	10 2 13 11
185	2 6 14 9
186	6 15 13 16
187	3 7 13 2
188	9 15 8 1
189	10 3 16 14
190	1 3 14 2
191	16 5 15 7
192	2 8 11 16
193	6 5 11 1
194	5 9 8 2
195	2 14 6 7
196	7 6 3 15
197	9 5 2 8
198	11 10 14 3
199	11 16 5 2
200	4 6 13 5
